District,Region,Subzone,Property Type,address,Ascendas_Building,lease,sqft,sqm,psf
D10,CENTRAL REGION,CORONATION ROAD,Office,1 fifth avenue,Non-Ascendas Building,99-year Leasehold ,646,60,6.04
D25,NORTH REGION,GALI BATU,Factory / Workshop,30 mandai estate,Non-Ascendas Building,Unknown Tenure ,1100,102,1.14
D13,CENTRAL REGION,JOO SENG,Light Industrial,11 irving place,Non-Ascendas Building,Freehold ,3962,368,2.15
D22,WEST REGION,TOH TUCK,Light Industrial,boon lay way,Non-Ascendas Building,,2002,186,2.25
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Light Industrial,3a international business park,Ascendas Building,,748,69,4.2
D05,CENTRAL REGION,KENT RIDGE,Light Industrial,77 science park drive,Ascendas Building,,862,80,3.9
D05,CENTRAL REGION,KENT RIDGE,Light Industrial,1 science park drive,Ascendas Building,,1218,113,3.9
D22,WEST REGION,JURONG RIVER,Warehouse,penjuru road,Non-Ascendas Building,,3200,297,1.4
D05,CENTRAL REGION,ONE NORTH,Light Industrial,biopolis road,Ascendas Building,,1375,128,4.85
D22,WEST REGION,BENOI SECTOR,Warehouse,pioneer walk,Non-Ascendas Building,,5000,465,1.35
D22,WEST REGION,TAMAN JURONG,Warehouse,jalan ahmad ibrahim,Non-Ascendas Building,,5800,539,1.35
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,fusionopolis place,Ascendas Building,,588,55,6.46
D22,WEST REGION,SHIPYARD,Factory / Workshop,pioneer crescent,Non-Ascendas Building,,15802,1468,1.3
D22,WEST REGION,BENOI SECTOR,Warehouse,pioneer road,Non-Ascendas Building,,12700,1180,1.2
D20,CENTRAL REGION,MARYMOUNT,Business / Science Park,1 pemimpin drive,Non-Ascendas Building,999-year Leasehold ,1152,107,2.86
D14,EAST REGION,KAKI BUKIT,Business / Science Park,1 kaki bukit view,Ascendas Building,Freehold ,1272,118,3.09
D14,EAST REGION,KAKI BUKIT,Business / Science Park,1 kaki bukit view,Ascendas Building,,1271,118,3.19
D13,CENTRAL REGION,JOO SENG,Business / Science Park,3 irving road,Non-Ascendas Building,Unknown Tenure ,2472,230,3.8
D13,CENTRAL REGION,JOO SENG,Business / Science Park,150 kampong ampat,Ascendas Building,,1762,164,3.01
D13,CENTRAL REGION,JOO SENG,Business / Science Park,11 irving place,Non-Ascendas Building,Freehold ,1787,166,2.5
D20,NORTH-EAST REGION,SERANGOON NORTH,Light Industrial,7030 ang mo kio avenue 5,Non-Ascendas Building,60-year Leasehold ,1948,181,2.21
D12,CENTRAL REGION,KALLANG BAHRU,Light Industrial,996 bendemeer road,Non-Ascendas Building,,2648,246,1.8
D20,NORTH-EAST REGION,SERANGOON NORTH IND ESTATE,Light Industrial,ang mo kio industrial park 2,Non-Ascendas Building,,1948,181,2.21
D11,CENTRAL REGION,MOULMEIN,Office,goldhill plaza,Non-Ascendas Building,,2500,232,4.8
D03,CENTRAL REGION,ALEXANDRA HILL,Business / Science Park,jalan bukit merah,Non-Ascendas Building,,7642,710,3.01
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,international business park,Ascendas Building,,5791,538,3.49
D02,CENTRAL REGION,ANSON,Office,19 keppel road,Non-Ascendas Building,,2320,216,3.88
D22,WEST REGION,PENJURU CRESCENT,Warehouse,40 penjuru lane,Ascendas Building,,56285,5229,1.5
D20,NORTH-EAST REGION,SERANGOON NORTH IND ESTATE,Light Industrial,5008 ang mo kio avenue 5,Ascendas Building,,2852,265,2.5
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,51 science park road,Ascendas Building,,11830,1099,4.2
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3 international business park,Ascendas Building,Unknown Tenure ,409,38,4.4
D22,WEST REGION,TAMAN JURONG,Light Industrial,2 corporation road,Ascendas Building,,5070,471,2.9
D20,NORTH-EAST REGION,CHONG BOON,Light Industrial,4008 ang mo kio avenue 10,Ascendas Building,30-year Leasehold ,2151,200,2.2
