"","District","Region","Subzone","Property Type","address","Ascendas_Building","lease","sqft","sqm","psf","lon","lat"
"1","D10","CENTRAL REGION","CORONATION ROAD","Office","1 fifth avenue , singapore","Non-Ascendas Building","99-year Leasehold",646,60,6.04,103.7956357,1.3308419
"2","D25","NORTH REGION","GALI BATU","Factory / Workshop","30 mandai estate , singapore","Non-Ascendas Building","Unknown Tenure",1100,102,1.14,103.7585152,1.4061022
"3","D13","CENTRAL REGION","JOO SENG","Light Industrial","11 irving place , singapore","Non-Ascendas Building","Freehold",3962,368,2.15,103.8866573,1.3360926
"4","D22","WEST REGION","TOH TUCK","Light Industrial","boon lay way , singapore","Non-Ascendas Building",NA,2002,186,2.25,103.7270892,1.3443216
"5","D22","WEST REGION","INTERNATIONAL BUSINESS PARK","Light Industrial","3a international business park , singapore","Ascendas Building",NA,748,69,4.2,103.7492819,1.3277403
"6","D05","CENTRAL REGION","KENT RIDGE","Light Industrial","77 science park drive , singapore","Ascendas Building",NA,862,80,3.9,103.791521,1.289339
"7","D05","CENTRAL REGION","KENT RIDGE","Light Industrial","1 science park drive , singapore","Ascendas Building",NA,1218,113,3.9,103.7855375,1.2919536
"8","D22","WEST REGION","JURONG RIVER","Warehouse","penjuru road , singapore","Non-Ascendas Building",NA,3200,297,1.4,103.7350274,1.3143486
"9","D05","CENTRAL REGION","ONE NORTH","Light Industrial","biopolis road , singapore","Ascendas Building",NA,1375,128,4.85,103.7916975,1.3024598
"10","D22","WEST REGION","BENOI SECTOR","Warehouse","pioneer walk , singapore","Non-Ascendas Building",NA,5000,465,1.35,103.6949695,1.3191437
"11","D22","WEST REGION","TAMAN JURONG","Warehouse","jalan ahmad ibrahim , singapore","Non-Ascendas Building",NA,5800,539,1.35,103.6862631,1.3229236
"12","D05","CENTRAL REGION","ONE NORTH","Business / Science Park","fusionopolis place , singapore","Ascendas Building",NA,588,55,6.46,103.7876852,1.3001843
"13","D22","WEST REGION","SHIPYARD","Factory / Workshop","pioneer crescent , singapore","Non-Ascendas Building",NA,15802,1468,1.3,103.6923178,1.3122025
"14","D22","WEST REGION","BENOI SECTOR","Warehouse","pioneer road , singapore","Non-Ascendas Building",NA,12700,1180,1.2,103.6579021,1.3126049
"15","D20","CENTRAL REGION","MARYMOUNT","Business / Science Park","1 pemimpin drive , singapore","Non-Ascendas Building","999-year Leasehold",1152,107,2.86,103.8429144,1.3519521
"16","D14","EAST REGION","KAKI BUKIT","Business / Science Park","1 kaki bukit view , singapore","Ascendas Building","Freehold",1272,118,3.09,103.9095051,1.3365593
"17","D14","EAST REGION","KAKI BUKIT","Business / Science Park","1 kaki bukit view , singapore","Ascendas Building",NA,1271,118,3.19,103.9095051,1.3365593
"18","D13","CENTRAL REGION","JOO SENG","Business / Science Park","3 irving road , singapore","Non-Ascendas Building","Unknown Tenure",2472,230,3.8,103.8869411,1.3358844
"19","D13","CENTRAL REGION","JOO SENG","Business / Science Park","150 kampong ampat , singapore","Ascendas Building",NA,1762,164,3.01,103.8836791,1.3350249
"20","D13","CENTRAL REGION","JOO SENG","Business / Science Park","11 irving place , singapore","Non-Ascendas Building","Freehold",1787,166,2.5,103.8866573,1.3360926
"21","D20","NORTH-EAST REGION","SERANGOON NORTH","Light Industrial","7030 ang mo kio avenue 5 , singapore","Non-Ascendas Building","60-year Leasehold",1948,181,2.21,103.8757058,1.3775442
"22","D12","CENTRAL REGION","KALLANG BAHRU","Light Industrial","996 bendemeer road , singapore","Non-Ascendas Building",NA,2648,246,1.8,103.8653791,1.3191737
"23","D20","NORTH-EAST REGION","SERANGOON NORTH IND ESTATE","Light Industrial","ang mo kio industrial park 2 , singapore","Non-Ascendas Building",NA,1948,181,2.21,103.8626295,1.3743591
"24","D11","CENTRAL REGION","MOULMEIN","Office","goldhill plaza , singapore","Non-Ascendas Building",NA,2500,232,4.8,103.8434793,1.3178365
"25","D03","CENTRAL REGION","ALEXANDRA HILL","Business / Science Park","jalan bukit merah , singapore","Non-Ascendas Building",NA,7642,710,3.01,103.8193897,1.2835601
"26","D22","WEST REGION","INTERNATIONAL BUSINESS PARK","Business / Science Park","international business park , singapore","Ascendas Building",NA,5791,538,3.49,103.7478166,1.3272206
"27","D02","CENTRAL REGION","ANSON","Office","19 keppel road , singapore","Non-Ascendas Building",NA,2320,216,3.88,103.8423879,1.2729624
"28","D22","WEST REGION","PENJURU CRESCENT","Warehouse","40 penjuru lane , singapore","Ascendas Building",NA,56285,5229,1.5,103.7287357,1.3106526
"29","D20","NORTH-EAST REGION","SERANGOON NORTH IND ESTATE","Light Industrial","5008 ang mo kio avenue 5 , singapore","Ascendas Building",NA,2852,265,2.5,103.8651478,1.3780596
"30","D05","CENTRAL REGION","PASIR PANJANG 1","Business / Science Park","51 science park road , singapore","Ascendas Building",NA,11830,1099,4.2,103.7831403,1.2874504
"31","D22","WEST REGION","INTERNATIONAL BUSINESS PARK","Business / Science Park","3 international business park , singapore","Ascendas Building","Unknown Tenure",409,38,4.4,103.7485578,1.3273051
"32","D22","WEST REGION","TAMAN JURONG","Light Industrial","2 corporation road , singapore","Ascendas Building",NA,5070,471,2.9,103.7204985,1.3251171
"33","D20","NORTH-EAST REGION","CHONG BOON","Light Industrial","4008 ang mo kio avenue 10 , singapore","Ascendas Building","30-year Leasehold",2151,200,2.2,103.8564354,1.3599893
"34","D16","EAST REGION","SIMEI","Warehouse","4 changi south lane , singapore","Ascendas Building","Unknown Tenure",18486,1717,1.6,103.9509275,1.3327345
"35","D16","EAST REGION","XILIN","Business / Science Park","17 changi business park central 1 , singapore","Ascendas Building",NA,12764,1186,4.5,103.9656142,1.3371858
"36","D14","EAST REGION","KAKI BUKIT","Light Industrial","1 kaki bukit view , singapore","Ascendas Building","Freehold",2540,236,3.5,103.9095051,1.3365593
"37","D05","CENTRAL REGION","PASIR PANJANG 1","Business / Science Park","41 science park rd , singapore","Ascendas Building","Unknown Tenure",741,69,4.5,103.782857,1.288695
"38","D14","EAST REGION","KAKI BUKIT","Light Industrial","31 kaki bukit road 3 , singapore","Ascendas Building","Freehold",4922,457,3.5,103.9055177,1.3357041
"39","D22","WEST REGION","INTERNATIONAL BUSINESS PARK","Business / Science Park","7 international business park , singapore","Ascendas Building","Unknown Tenure",969,90,4,103.749825,1.3255407
"40","D04","CENTRAL REGION","DEPOT ROAD","Light Industrial","138 depot road , singapore","Ascendas Building",NA,42507,3949,3.5,103.8081531,1.2830269
"41","D17","EAST REGION","CHANGI WEST","Warehouse","3 changi north street 2 , singapore","Ascendas Building",NA,12368,1149,2.2,103.9653422,1.351165
"42","D22","WEST REGION","INTERNATIONAL BUSINESS PARK","Business / Science Park","3a international business park , singapore","Ascendas Building","60-year Leasehold",26793,2489,3.95,103.7492819,1.3277403
"43","D05","CENTRAL REGION","PASIR PANJANG 1","Business / Science Park","20 science park road , singapore","Ascendas Building","Unknown Tenure",3005,279,4.5,103.7816011,1.2866544
"44","D16","EAST REGION","XILIN","Business / Science Park","3 changi business park vista , singapore","Ascendas Building",NA,4902,455,4.5,103.9671555,1.336811
"45","D05","CENTRAL REGION","ONE NORTH","Business / Science Park","21 biopolis , singapore","Ascendas Building",NA,5746,534,4.95,103.7923759,1.3018822
"46","D19","NORTH-EAST REGION","SERANGOON NORTH","Light Industrial","52 serangoon north avenue 4 , singapore","Ascendas Building",NA,5177,481,1.8,103.8760682,1.3760767
"47","D20","NORTH-EAST REGION","SERANGOON NORTH IND ESTATE","Light Industrial","5008 ang mo kio avenue 5 , singapore","Ascendas Building",NA,80,7,2.29,103.8651478,1.3780596
"48","D22","WEST REGION","TAMAN JURONG","Light Industrial","2 corporation road , singapore","Ascendas Building",NA,7940,738,2.5,103.7204985,1.3251171
"49","D22","WEST REGION","PENJURU CRESCENT","Factory / Workshop","40 penjuru lane , singapore","Ascendas Building","Unknown Tenure",128081,11899,1.3,103.7287357,1.3106526
"50","D20","NORTH-EAST REGION","CHONG BOON","Light Industrial","4008 ang mo kio avenue 10 , singapore","Ascendas Building","30-year Leasehold",4355,405,1.8,103.8564354,1.3599893
"51","D18","EAST REGION","TAMPINES WEST","Light Industrial","11 tampines street 92 , singapore","Ascendas Building","Unknown Tenure",22836,2122,2.5,103.9443184,1.342582
"52","D16","EAST REGION","SIMEI","Warehouse","4 changi south lane , singapore","Ascendas Building","Unknown Tenure",12200,1133,1.6,103.9509275,1.3327345
"53","D14","EAST REGION","KAKI BUKIT","Factory / Workshop","1 kaki bukit view , singapore","Ascendas Building","Freehold",7037,654,3.2,103.9095051,1.3365593
"54","D14","EAST REGION","KAKI BUKIT","Light Industrial","31 kaki bukit road 3 , singapore","Ascendas Building","Freehold",12749,1184,3.2,103.9055177,1.3357041
"55","D05","CENTRAL REGION","PASIR PANJANG 1","Business / Science Park","61 science park road , singapore","Ascendas Building","Unknown Tenure",1226,114,4.2,103.7840457,1.2865678
"56","D05","CENTRAL REGION","PASIR PANJANG 1","Business / Science Park","10 science park road , singapore","Ascendas Building","Unknown Tenure",767,71,4,103.7796998,1.288347
"57","D18","EAST REGION","TAMPINES WEST","Light Industrial","11 tampines street 92 , singapore","Ascendas Building",NA,19881,1847,1.8,103.9443184,1.342582
"58","D05","CENTRAL REGION","PASIR PANJANG 1","Business / Science Park","20 science park road , singapore","Ascendas Building",NA,980,91,4.5,103.7816011,1.2866544
"59","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","31 ubi road 1 , singapore","Ascendas Building",NA,5015,466,2.8,103.8925573,1.3267798
"60","D16","EAST REGION","XILIN","Business / Science Park","1 changi business park crescent , singapore","Ascendas Building","30-year Leasehold",1783,166,4.2,103.9659768,1.3330865
"61","D22","WEST REGION","INTERNATIONAL BUSINESS PARK","Business / Science Park","3a international business park , singapore","Ascendas Building","60-year Leasehold",4204,391,3.95,103.7492819,1.3277403
