description,id
starbucks brown bag was found at  tonito entrance informed by guest,0
TEST,1
fire test,2
ES-12B stop working from B1Mto L1,3
Level 1 Escalator Es 6D not working,4
auto-created for testing purposes,5
test,6
auto-created for testing purposes,7
testing,8
one chinese male found smoking at coach bay corridor at level 1,9
testing,10
"On 21/02/19 at 2.20 am, while i doing my patrolling at B1 (QC), Zara Walkway, the burglar alarm at unit #B1- 222 had activated. I proceed to the unit and at sametime i informed SOC at 2.28 am.
After reaching the unit, i done a perimeter check and found no disturbance. The door was lock. I updated SOC at 2.36 am and wait for tenant to arrived. Tenant John arrived at 2.48am and we went in the unit to check. we found nothing unusual and tenant reset the burglar alarm and locked the unit at 3.03 am. The tenant left and I resumed my patrol at 3.05am.",11
auto-created for testing purposes,12
test,13
female guest not feeling well  location comciege counter,14
TEST,15
NULL,16
TESTING,17
brawl,18
TESTING,19
Test1 MAle Chinese waering Blue shorts & white T shirt,20
TESTING,21
APD is arrive. now we hand over to them . end report .,22
"3:02 -black addidas bag found at level 2 main enternace 
3:04 - hand over to main information counter 
3:08 - withness with pserve staff (Anis)the item inside",23
"male malay 
black shirt 
black pants",24
testing,25
NULL,26
break In at L2 QA LIFT lOBBY E,27
unattended bag,28
test,29
Testing,30
01x unattended bag spotted,31
testestest,32
TEST,33
Testing,34
TEST,35
NULL,36
testing,37
MOP smoking at jewel near by level 1 lobby c,38
"Found unattended blue bag , brand Nalgene outside Times Junior  L4",39
auto-created for testing purposes,40
test2,41
NULL,42
NULL,43
sleeping  at Petal Garden after advised By EC Guo Xiao Ya the subject became crazy,44
one of person throw cement chemical water near the tree.i found.the person i cannot found.,45
Trial Testing,46
TESTING,47
testing,48
this is a test help me look if u recieve it and accept the task,49
"i found person smoking
male
Chinese boy
27
blue t-shirt black pants
167cm 60kg",50
man wear orange  black pants black shoes,51
test,52
TEST,53
TESTING,54
Last seen at Tokyu Hand.,55
theft (test),56
Found unattended bag at Level 1 red bag,57
testing,58
NULL,59
Smoking (Test),60
NULL,61
NULL,62
test jeremy,63
2 male 1 indian 1 chinese trespassing discovery slide towards canopy park.,64
testing,65
Trial - Escalator Breakdown,66
"unattended water bottle at B2 Food hall

Starbucks brand  red colour 

handed over to level 2 info counter",67
TEST,68
TEST,69
NULL,70
NULL,71
medical,72
one female guset smoking  orange shirt black pants,73
NULL,74
